1_male.wav,"we were up all night prepping this fucking car, and this is the best you can do? We're not pissing our weekends away to watch you fuck it all up, get your head out of your ass, man"
10.wav,"this really isn't good for morale, we've been busting our asses here, we might as well not have bothered. Look, we need to sit down, and talk properly when you get back to the pits"
11.wav,"it's been one of them weekends. We need to just pack everything up, get away from here, start out fresh next time, work out what went wrong. We've gotta get better"
12.wav,"right, we're out of here. You can pack all this shit up yourself, we've all had enough, mate"
13.wav,"honestly mate, this is the last weekend we're gonna watch you drive like that. If it doesn't improve, I will buy my own fucking race car"
14_male.wav,"you've been a shambles all day, man, total shit show. We're all sat here wondering why we bothered"
15_male.wav,"all weekend, just useless, useless. Fucking tired of seeing this, man, we're all tired of seeing it. It's like, it's like just wasting our time"
16_male.wav,"fucking nightmare weekend, man, nightmare. We'll clear up and clear out, then we'll try and work out what the hell's just happened"
17.wav,"Dick"
18.wav,"fucking useless"
19.wav,"I've shat better drives than that"
2.wav,"we're all working our asses off here, you got to start delivering. The car's quick and it's solid, and you've got to get your shit together"
20.wav,"stay away from the crew, they're ready to pull your arms off"
3.wav,"great, well, there we are, another weekend down the toilet. You might be content to throw your money away, just making up the numbers, but we've got a strong car and a competitive crew here, and we want some results for our hard work"
4_male.wav,"well that went well, we're all properly thrilled that you stayed up half the night getting hammered while we worked on the car, just so we could watch you screw it all up in a hungover haze, well done, man"
5.wav,"right this, this isn't good enough, not by a long shot. I'm starting to wonder why we're bothering here. There's guys finishing way ahead of us who've got half the budget and cars that barely work. You're the weak link. The results are not gonna improve unless you do"
6.wav,"this is embarrassing. You've got one job to do, one job. Fumbling around at the back might be a laugh for you, but we are absolutely sick of it. We've got better things we could be doing with our weekends"
7.wav,"fucking useless, just fucking useless. Good car, good team, shit driver. Stop playing racing car and actually make a fucking effort"
8_male.wav,"stay away from the crew when you get back to the pits. They're all really fucking pissed off. I am, too. I mean, it was shit man, really shit, waste of a weekend"
9.wav,"what, what the fuck just happened? How'd you manage to fuck it up so badly"
21.wav,"I don't wanna work with you anymore. Fuck off"
22.wav,"You're just hopeless, just absolutely fucking hopeless"
23.wav,"Right, bring it back. If you think can get back to the pits without fucking that up"
24.wav,"Honestly, I've seen better performances fall out of my arse"
25.wav,"Absolutely bloody terrible"
26.wav,"The fuck was all that? You're just fucking shit"
27.wav,"That was... shit"
28.wav,"You fucking berk"
29.wav,"I've shat better performances than that"
30.wav,"I think that's the worst you've ever driven, I hope you're proud of yourself"
